EXTRACTION_ID,SITE_ID,DOSE,FOCUS,DIE_ROW,DIE_COL,DIE_ID
1,3,0.6821286252341751,51.27835514812591,18,4,418
2,4,1.7007302070100299,42.37410360819985,12,4,412
3,6,1.1350456790964805,-8.996339900933087,13,3,313
4,5,0.3125628347462472,-102.60066636913294,17,3,317
5,3,0.30197600611542663,-22.280911013451014,11,18,1811
6,2,0.7869453479945998,-40.724299092961445,15,7,715
7,7,-0.5393269947423406,38.21044476781261,16,2,216
8,3,-0.040188054943185156,135.4638319456519,4,3,304
9,2,0.9062390030785368,13.015829277279352,1,7,701
10,3,1.9574452148950907,-46.758667681927015,6,6,606
11,8,-0.159267305731742,-70.2330918181932,5,6,605
12,5,-0.04840068932986404,-3.3656568460963574,17,18,1817
13,6,0.19848019378767898,-10.60759161081527,18,17,1718
14,1,1.3432036940080567,-69.0911495716483,0,11,1100
15,4,-0.03031330358915025,6.981314141531052,9,19,1909
16,7,1.469359036471145,-69.0548112786517,16,6,616
17,7,-0.9666572174287505,66.72643630375805,2,2,202
18,6,-0.18603629573699512,63.75903634728932,15,5,515
19,8,-0.19816515668552595,65.08507591778525,2,1,102
20,3,0.78650572409622,-28.44302823651169,9,19,1909
21,2,1.0452603769782782,30.871233799085328,16,4,416
22,1,-1.5094443581182324,-7.924170313161411,6,8,806
23,2,-0.9151176258112247,-23.328723684148898,6,4,406
24,7,0.3368524787764621,-20.348739428523967,5,19,1905
25,9,-0.6586936458858148,-77.98291638204904,14,3,314
26,2,-1.522427775647643,-86.63182175370727,5,10,1005
27,5,1.0384799720234792,47.658887452562745,19,19,1919
28,2,0.49397008415364824,-11.474124235171205,8,10,1008
29,8,0.4931774968607472,12.98549106765739,9,17,1709
30,2,-0.4754457164460954,60.10262330724719,10,17,1710
31,6,1.028938452167321,-103.98794970096445,11,15,1511
32,1,-0.23995999642712024,-47.04780442895364,11,14,1411
33,7,1.0964352778229522,10.52009060790424,10,11,1110
34,9,-0.9116651509426222,23.525687199934378,19,11,1119
35,7,-0.8541354476838009,-22.624467024065808,16,16,1616
36,3,0.20466321059769635,61.75075396187091,15,8,815
37,8,-0.7023321457970587,12.623696329778213,14,18,1814
38,3,0.6754510653688304,-72.80292832967159,12,17,1712
39,7,0.26008774412905367,-55.84582655943871,6,7,706
40,8,-0.9229712178630985,48.32826362967735,19,8,819
41,5,0.07286560094510024,27.829887387363588,9,14,1409
42,6,-0.35127768818736665,-113.94367434039606,4,18,1804
43,8,0.9158328291770471,80.86273823174453,16,1,116
44,2,-0.6325529831782043,35.88162186563325,3,1,103
45,1,-0.43917309547287997,80.6005792617899,17,4,417
46,4,1.2112369053763345,-23.02205286450504,12,8,812
47,2,2.238593389242513,-17.742373279939553,2,3,302
48,8,1.999008664227936,-67.58742508507913,0,10,1000
49,8,0.06322301166060816,152.21577420791326,8,10,1008
50,4,0.21885470706822427,-10.527253524428925,0,19,1900
51,3,1.5334586622826605,95.25199152491673,2,14,1402
52,7,-0.12443480624463125,-38.83754708323677,10,5,510
53,5,-0.9763491371373664,9.830471539986045,19,15,1519
54,1,0.11687559743629844,-100.2811491942048,9,16,1609
55,6,0.45151678053213146,-22.972028926006143,16,13,1316
